INFO 2019-05-10 18:26:09,888 basehttp 154 "GET / HTTP/1.1" 200 16348
WARNING 2019-05-10 19:13:31,942 log 228 Not Found: /favicon.ico
WARNING 2019-05-10 19:13:31,945 basehttp 154 "GET /favicon.ico HTTP/1.1" 404 1977
INFO 2019-05-10 19:13:32,776 basehttp 154 "GET / HTTP/1.1" 200 16348
INFO 2019-05-10 19:14:33,426 basehttp 154 "GET / HTTP/1.1" 200 16348
INFO 2019-05-10 19:14:38,093 basehttp 154 "GET /admin HTTP/1.1" 301 0
INFO 2019-05-10 19:14:38,168 basehttp 154 "GET /admin/ HTTP/1.1" 302 0
INFO 2019-05-10 19:14:38,409 basehttp 154 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1819
INFO 2019-05-10 19:14:38,524 basehttp 154 "GET /static/admin/css/login.css HTTP/1.1" 200 1203
INFO 2019-05-10 19:14:38,563 basehttp 154 "GET /static/admin/css/base.css HTTP/1.1" 200 16225
INFO 2019-05-10 19:14:38,696 basehttp 154 "GET /static/admin/css/responsive.css HTTP/1.1" 200 17976
INFO 2019-05-10 19:47:08,810 basehttp 154 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1819
WARNING 2019-05-10 19:47:11,609 log 228 Not Found: /favicon.ico
WARNING 2019-05-10 19:47:11,612 basehttp 154 "GET /favicon.ico HTTP/1.1" 404 1977
INFO 2019-05-10 19:47:11,920 basehttp 154 "GET / HTTP/1.1" 200 16348
INFO 2019-05-10 20:01:30,854 basehttp 154 "GET / HTTP/1.1" 200 16348
INFO 2019-05-10 20:11:19,496 basehttp 154 "GET / HTTP/1.1" 200 16348
INFO 2019-05-10 20:26:41,082 basehttp 154 "GET / HTTP/1.1" 200 16348
WARNING 2019-05-10 20:41:41,552 log 228 Not Found: /
WARNING 2019-05-10 20:41:41,556 basehttp 154 "GET / HTTP/1.1" 404 2030
WARNING 2019-05-10 20:41:48,284 log 228 Not Found: /favicon.ico
WARNING 2019-05-10 20:41:48,286 basehttp 154 "GET /favicon.ico HTTP/1.1" 404 2081
WARNING 2019-05-10 20:41:48,716 log 228 Not Found: /api/
WARNING 2019-05-10 20:41:48,718 basehttp 154 "GET /api/ HTTP/1.1" 404 2114
INFO 2019-05-10 20:41:55,633 basehttp 154 "GET /api/banner/ HTTP/1.1" 200 9648
INFO 2019-05-10 20:41:55,824 basehttp 154 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2019-05-10 20:41:55,828 basehttp 154 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
INFO 2019-05-10 20:41:55,849 basehttp 154 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2019-05-10 20:41:55,861 basehttp 154 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1131
INFO 2019-05-10 20:41:55,876 basehttp 154 "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
INFO 2019-05-10 20:41:55,915 basehttp 154 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
INFO 2019-05-10 20:41:55,933 basehttp 154 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1719
INFO 2019-05-10 20:41:55,950 basehttp 154 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 37608
INFO 2019-05-10 20:41:55,954 basehttp 154 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2019-05-10 20:41:55,977 basehttp 154 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2019-05-10 20:41:56,055 basehttp 154 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
WARNING 2019-05-10 21:00:45,558 log 228 Not Found: /
WARNING 2019-05-10 21:00:45,559 basehttp 154 "GET / HTTP/1.1" 404 2030
WARNING 2019-05-10 21:02:43,463 log 228 Not Found: /
WARNING 2019-05-10 21:02:43,464 basehttp 154 "GET / HTTP/1.1" 404 2030
WARNING 2019-05-10 21:02:45,802 log 228 Not Found: /
WARNING 2019-05-10 21:02:45,804 basehttp 154 "GET / HTTP/1.1" 404 2030
WARNING 2019-05-10 21:04:48,131 log 228 Not Found: /xadmin
WARNING 2019-05-10 21:04:48,132 basehttp 154 "GET /xadmin HTTP/1.1" 404 2066
WARNING 2019-05-10 21:07:12,931 log 228 Not Found: /xadmin
WARNING 2019-05-10 21:07:12,933 basehttp 154 "GET /xadmin HTTP/1.1" 404 2066
WARNING 2019-05-10 21:07:16,225 log 228 Not Found: /xadmin
WARNING 2019-05-10 21:07:16,226 basehttp 154 "GET /xadmin HTTP/1.1" 404 2066
WARNING 2019-05-10 21:07:23,908 log 228 Not Found: /favicon.ico
WARNING 2019-05-10 21:07:23,911 basehttp 154 "GET /favicon.ico HTTP/1.1" 404 2081
WARNING 2019-05-10 21:07:24,158 log 228 Not Found: /
WARNING 2019-05-10 21:07:24,161 basehttp 154 "GET / HTTP/1.1" 404 2030
WARNING 2019-05-10 21:08:04,323 log 228 Not Found: /
